month,level_1,value
1961-01,Number Of Air Passenger Arrivals,11814
1961-02,Number Of Air Passenger Arrivals,11027
1961-03,Number Of Air Passenger Arrivals,12703
1961-04,Number Of Air Passenger Arrivals,13159
1961-05,Number Of Air Passenger Arrivals,12221
1961-06,Number Of Air Passenger Arrivals,11532
1961-07,Number Of Air Passenger Arrivals,13655
1961-08,Number Of Air Passenger Arrivals,13501
1961-09,Number Of Air Passenger Arrivals,12974
1961-10,Number Of Air Passenger Arrivals,13619
1961-11,Number Of Air Passenger Arrivals,13505
1961-12,Number Of Air Passenger Arrivals,14951
1962-01,Number Of Air Passenger Arrivals,13149
1962-02,Number Of Air Passenger Arrivals,12196
1962-03,Number Of Air Passenger Arrivals,13230
1962-04,Number Of Air Passenger Arrivals,15300
1962-05,Number Of Air Passenger Arrivals,14352
1962-06,Number Of Air Passenger Arrivals,12694
1962-07,Number Of Air Passenger Arrivals,14982
1962-08,Number Of Air Passenger Arrivals,15403
1962-09,Number Of Air Passenger Arrivals,14135
1962-10,Number Of Air Passenger Arrivals,14856
1962-11,Number Of Air Passenger Arrivals,16290
1962-12,Number Of Air Passenger Arrivals,16798
1963-01,Number Of Air Passenger Arrivals,14446
1963-02,Number Of Air Passenger Arrivals,13284
1963-03,Number Of Air Passenger Arrivals,15993
1963-04,Number Of Air Passenger Arrivals,17141
1963-05,Number Of Air Passenger Arrivals,16200
1963-06,Number Of Air Passenger Arrivals,13854
1963-07,Number Of Air Passenger Arrivals,17634
1963-08,Number Of Air Passenger Arrivals,18278
1963-09,Number Of Air Passenger Arrivals,14838
1963-10,Number Of Air Passenger Arrivals,14671
1963-11,Number Of Air Passenger Arrivals,16172
1963-12,Number Of Air Passenger Arrivals,16308
1964-01,Number Of Air Passenger Arrivals,15535
1964-02,Number Of Air Passenger Arrivals,16771
1964-03,Number Of Air Passenger Arrivals,16948
1964-04,Number Of Air Passenger Arrivals,16668
1964-05,Number Of Air Passenger Arrivals,17118
1964-06,Number Of Air Passenger Arrivals,14445
1964-07,Number Of Air Passenger Arrivals,16281
1964-08,Number Of Air Passenger Arrivals,16701
1964-09,Number Of Air Passenger Arrivals,14978
1964-10,Number Of Air Passenger Arrivals,17096
1964-11,Number Of Air Passenger Arrivals,18245
1964-12,Number Of Air Passenger Arrivals,19886
1965-01,Number Of Air Passenger Arrivals,17864
1965-02,Number Of Air Passenger Arrivals,16988
1965-03,Number Of Air Passenger Arrivals,18571
1965-04,Number Of Air Passenger Arrivals,20258
1965-05,Number Of Air Passenger Arrivals,20468
1965-06,Number Of Air Passenger Arrivals,16531
1965-07,Number Of Air Passenger Arrivals,21019
1965-08,Number Of Air Passenger Arrivals,21032
1965-09,Number Of Air Passenger Arrivals,17825
1965-10,Number Of Air Passenger Arrivals,19327
1965-11,Number Of Air Passenger Arrivals,19738
1965-12,Number Of Air Passenger Arrivals,22930
1966-01,Number Of Air Passenger Arrivals,19674
1966-02,Number Of Air Passenger Arrivals,18502
1966-03,Number Of Air Passenger Arrivals,19554
1966-04,Number Of Air Passenger Arrivals,22266
1966-05,Number Of Air Passenger Arrivals,21311
1966-06,Number Of Air Passenger Arrivals,20129
1966-07,Number Of Air Passenger Arrivals,23641
1966-08,Number Of Air Passenger Arrivals,24238
1966-09,Number Of Air Passenger Arrivals,21791
1966-10,Number Of Air Passenger Arrivals,23914
1966-11,Number Of Air Passenger Arrivals,25337
1966-12,Number Of Air Passenger Arrivals,29729
1967-01,Number Of Air Passenger Arrivals,24505
1967-02,Number Of Air Passenger Arrivals,24067
1967-03,Number Of Air Passenger Arrivals,26357
1967-04,Number Of Air Passenger Arrivals,29351
1967-05,Number Of Air Passenger Arrivals,29076
1967-06,Number Of Air Passenger Arrivals,25634
1967-07,Number Of Air Passenger Arrivals,31159
1967-08,Number Of Air Passenger Arrivals,33547
1967-09,Number Of Air Passenger Arrivals,29002
1967-10,Number Of Air Passenger Arrivals,30752
1967-11,Number Of Air Passenger Arrivals,31148
1967-12,Number Of Air Passenger Arrivals,35570
1968-01,Number Of Air Passenger Arrivals,30783
1968-02,Number Of Air Passenger Arrivals,28879
1968-03,Number Of Air Passenger Arrivals,31072
1968-04,Number Of Air Passenger Arrivals,35549
1968-05,Number Of Air Passenger Arrivals,34114
1968-06,Number Of Air Passenger Arrivals,31357
1968-07,Number Of Air Passenger Arrivals,34943
1968-08,Number Of Air Passenger Arrivals,38365
1968-09,Number Of Air Passenger Arrivals,33023
1968-10,Number Of Air Passenger Arrivals,36237
1968-11,Number Of Air Passenger Arrivals,36340
1968-12,Number Of Air Passenger Arrivals,42090
1969-01,Number Of Air Passenger Arrivals,37132
1969-02,Number Of Air Passenger Arrivals,35154
1969-03,Number Of Air Passenger Arrivals,38858
1969-04,Number Of Air Passenger Arrivals,43755
1969-05,Number Of Air Passenger Arrivals,41822
1969-06,Number Of Air Passenger Arrivals,37321
1969-07,Number Of Air Passenger Arrivals,45684
1969-08,Number Of Air Passenger Arrivals,47886
1969-09,Number Of Air Passenger Arrivals,43589
1969-10,Number Of Air Passenger Arrivals,47946
1969-11,Number Of Air Passenger Arrivals,49994
1969-12,Number Of Air Passenger Arrivals,58243
1970-01,Number Of Air Passenger Arrivals,48859
1970-02,Number Of Air Passenger Arrivals,43746
1970-03,Number Of Air Passenger Arrivals,49349
1970-04,Number Of Air Passenger Arrivals,58256
1970-05,Number Of Air Passenger Arrivals,56988
1970-06,Number Of Air Passenger Arrivals,52885
1970-07,Number Of Air Passenger Arrivals,62957
1970-08,Number Of Air Passenger Arrivals,68000
1970-09,Number Of Air Passenger Arrivals,58346
1970-10,Number Of Air Passenger Arrivals,55454
1970-11,Number Of Air Passenger Arrivals,57083
1970-12,Number Of Air Passenger Arrivals,70361
1971-01,Number Of Air Passenger Arrivals,62376
1971-02,Number Of Air Passenger Arrivals,54479
1971-03,Number Of Air Passenger Arrivals,60113
1971-04,Number Of Air Passenger Arrivals,65937
1971-05,Number Of Air Passenger Arrivals,67710
1971-06,Number Of Air Passenger Arrivals,61183
1971-07,Number Of Air Passenger Arrivals,68405
1971-08,Number Of Air Passenger Arrivals,77061
1971-09,Number Of Air Passenger Arrivals,68807
1971-10,Number Of Air Passenger Arrivals,75122
1971-11,Number Of Air Passenger Arrivals,74253
1971-12,Number Of Air Passenger Arrivals,90266
1972-01,Number Of Air Passenger Arrivals,73856
1972-02,Number Of Air Passenger Arrivals,76131
1972-03,Number Of Air Passenger Arrivals,79351
1972-04,Number Of Air Passenger Arrivals,78939
1972-05,Number Of Air Passenger Arrivals,80308
1972-06,Number Of Air Passenger Arrivals,78715
1972-07,Number Of Air Passenger Arrivals,84288
1972-08,Number Of Air Passenger Arrivals,93504
1972-09,Number Of Air Passenger Arrivals,85054
1972-10,Number Of Air Passenger Arrivals,91530
1972-11,Number Of Air Passenger Arrivals,93452
1972-12,Number Of Air Passenger Arrivals,114086
1973-01,Number Of Air Passenger Arrivals,101191
1973-02,Number Of Air Passenger Arrivals,97305
1973-03,Number Of Air Passenger Arrivals,98999
1973-04,Number Of Air Passenger Arrivals,108029
1973-05,Number Of Air Passenger Arrivals,104081
1973-06,Number Of Air Passenger Arrivals,105185
1973-07,Number Of Air Passenger Arrivals,113821
1973-08,Number Of Air Passenger Arrivals,123210
1973-09,Number Of Air Passenger Arrivals,113284
1973-10,Number Of Air Passenger Arrivals,120407
1973-11,Number Of Air Passenger Arrivals,124820
1973-12,Number Of Air Passenger Arrivals,140413
1974-01,Number Of Air Passenger Arrivals,126613
1974-02,Number Of Air Passenger Arrivals,107737
1974-03,Number Of Air Passenger Arrivals,114903
1974-04,Number Of Air Passenger Arrivals,118574
1974-05,Number Of Air Passenger Arrivals,114174
1974-06,Number Of Air Passenger Arrivals,120309
1974-07,Number Of Air Passenger Arrivals,124890
1974-08,Number Of Air Passenger Arrivals,136623
1974-09,Number Of Air Passenger Arrivals,117991
1974-10,Number Of Air Passenger Arrivals,123795
1974-11,Number Of Air Passenger Arrivals,125167
1974-12,Number Of Air Passenger Arrivals,152456
1975-01,Number Of Air Passenger Arrivals,129839
1975-02,Number Of Air Passenger Arrivals,117525
1975-03,Number Of Air Passenger Arrivals,128896
1975-04,Number Of Air Passenger Arrivals,129237
1975-05,Number Of Air Passenger Arrivals,126822
1975-06,Number Of Air Passenger Arrivals,128888
1975-07,Number Of Air Passenger Arrivals,134183
1975-08,Number Of Air Passenger Arrivals,155478
1975-09,Number Of Air Passenger Arrivals,139073
1975-10,Number Of Air Passenger Arrivals,141101
1975-11,Number Of Air Passenger Arrivals,145183
1975-12,Number Of Air Passenger Arrivals,170856
1976-01,Number Of Air Passenger Arrivals,148025
1976-02,Number Of Air Passenger Arrivals,138978
1976-03,Number Of Air Passenger Arrivals,142358
1976-04,Number Of Air Passenger Arrivals,144777
1976-05,Number Of Air Passenger Arrivals,147145
1976-06,Number Of Air Passenger Arrivals,147230
1976-07,Number Of Air Passenger Arrivals,155606
1976-08,Number Of Air Passenger Arrivals,174385
1976-09,Number Of Air Passenger Arrivals,154373
1976-10,Number Of Air Passenger Arrivals,156788
1976-11,Number Of Air Passenger Arrivals,158555
1976-12,Number Of Air Passenger Arrivals,191285
1977-01,Number Of Air Passenger Arrivals,167788
1977-02,Number Of Air Passenger Arrivals,147337
1977-03,Number Of Air Passenger Arrivals,161478
1977-04,Number Of Air Passenger Arrivals,164168
1977-05,Number Of Air Passenger Arrivals,161790
1977-06,Number Of Air Passenger Arrivals,170447
1977-07,Number Of Air Passenger Arrivals,182838
1977-08,Number Of Air Passenger Arrivals,199961
1977-09,Number Of Air Passenger Arrivals,172769
1977-10,Number Of Air Passenger Arrivals,177291
1977-11,Number Of Air Passenger Arrivals,187406
1977-12,Number Of Air Passenger Arrivals,213437
1978-01,Number Of Air Passenger Arrivals,187574
1978-02,Number Of Air Passenger Arrivals,168272
1978-03,Number Of Air Passenger Arrivals,183520
1978-04,Number Of Air Passenger Arrivals,188724
1978-05,Number Of Air Passenger Arrivals,191494
1978-06,Number Of Air Passenger Arrivals,195129
1978-07,Number Of Air Passenger Arrivals,205855
1978-08,Number Of Air Passenger Arrivals,229990
1978-09,Number Of Air Passenger Arrivals,202499
1978-10,Number Of Air Passenger Arrivals,209060
1978-11,Number Of Air Passenger Arrivals,215825
1978-12,Number Of Air Passenger Arrivals,232313
1979-01,Number Of Air Passenger Arrivals,208225
1979-02,Number Of Air Passenger Arrivals,184416
1979-03,Number Of Air Passenger Arrivals,205632
1979-04,Number Of Air Passenger Arrivals,214303
1979-05,Number Of Air Passenger Arrivals,209815
1979-06,Number Of Air Passenger Arrivals,231142
1979-07,Number Of Air Passenger Arrivals,239553
1979-08,Number Of Air Passenger Arrivals,252611
1979-09,Number Of Air Passenger Arrivals,224760
1979-10,Number Of Air Passenger Arrivals,237348
1979-11,Number Of Air Passenger Arrivals,244982
1979-12,Number Of Air Passenger Arrivals,267393
1980-01,Number Of Air Passenger Arrivals,235030
1980-02,Number Of Air Passenger Arrivals,227555
1980-03,Number Of Air Passenger Arrivals,246262
1980-04,Number Of Air Passenger Arrivals,240343
1980-05,Number Of Air Passenger Arrivals,246876
1980-06,Number Of Air Passenger Arrivals,264753
1980-07,Number Of Air Passenger Arrivals,271505
1980-08,Number Of Air Passenger Arrivals,298606
1980-09,Number Of Air Passenger Arrivals,250091
1980-10,Number Of Air Passenger Arrivals,267687
1980-11,Number Of Air Passenger Arrivals,275384
1980-12,Number Of Air Passenger Arrivals,316631
1981-01,Number Of Air Passenger Arrivals,271695
1981-02,Number Of Air Passenger Arrivals,265569
1981-03,Number Of Air Passenger Arrivals,272334
1981-04,Number Of Air Passenger Arrivals,275944
1981-05,Number Of Air Passenger Arrivals,274595
1981-06,Number Of Air Passenger Arrivals,311813
1981-07,Number Of Air Passenger Arrivals,318493
1981-08,Number Of Air Passenger Arrivals,344177
1981-09,Number Of Air Passenger Arrivals,289059
1981-10,Number Of Air Passenger Arrivals,307745
1981-11,Number Of Air Passenger Arrivals,314739
1981-12,Number Of Air Passenger Arrivals,350941
1982-01,Number Of Air Passenger Arrivals,315469
1982-02,Number Of Air Passenger Arrivals,277433
1982-03,Number Of Air Passenger Arrivals,298032
1982-04,Number Of Air Passenger Arrivals,291148
1982-05,Number Of Air Passenger Arrivals,294788
1982-06,Number Of Air Passenger Arrivals,335718
1982-07,Number Of Air Passenger Arrivals,338064
1982-08,Number Of Air Passenger Arrivals,346210
1982-09,Number Of Air Passenger Arrivals,295237
1982-10,Number Of Air Passenger Arrivals,315451
1982-11,Number Of Air Passenger Arrivals,323149
1982-12,Number Of Air Passenger Arrivals,356712
1983-01,Number Of Air Passenger Arrivals,300961
1983-02,Number Of Air Passenger Arrivals,288663
1983-03,Number Of Air Passenger Arrivals,307881
1983-04,Number Of Air Passenger Arrivals,292871
1983-05,Number Of Air Passenger Arrivals,308903
1983-06,Number Of Air Passenger Arrivals,338558
1983-07,Number Of Air Passenger Arrivals,328601
1983-08,Number Of Air Passenger Arrivals,340724
1983-09,Number Of Air Passenger Arrivals,310620
1983-10,Number Of Air Passenger Arrivals,320816
1983-11,Number Of Air Passenger Arrivals,314848
1983-12,Number Of Air Passenger Arrivals,377274
1984-01,Number Of Air Passenger Arrivals,315986
1984-02,Number Of Air Passenger Arrivals,314134
1984-03,Number Of Air Passenger Arrivals,322277
1984-04,Number Of Air Passenger Arrivals,338332
1984-05,Number Of Air Passenger Arrivals,339986
1984-06,Number Of Air Passenger Arrivals,369957
1984-07,Number Of Air Passenger Arrivals,356897
1984-08,Number Of Air Passenger Arrivals,374408
1984-09,Number Of Air Passenger Arrivals,345375
1984-10,Number Of Air Passenger Arrivals,352784
1984-11,Number Of Air Passenger Arrivals,344060
1984-12,Number Of Air Passenger Arrivals,406556
1985-01,Number Of Air Passenger Arrivals,334655
1985-02,Number Of Air Passenger Arrivals,327810
1985-03,Number Of Air Passenger Arrivals,363037
1985-04,Number Of Air Passenger Arrivals,344261
1985-05,Number Of Air Passenger Arrivals,340648
1985-06,Number Of Air Passenger Arrivals,394034
1985-07,Number Of Air Passenger Arrivals,368822
1985-08,Number Of Air Passenger Arrivals,386580
1985-09,Number Of Air Passenger Arrivals,346416
1985-10,Number Of Air Passenger Arrivals,348699
1985-11,Number Of Air Passenger Arrivals,347526
1985-12,Number Of Air Passenger Arrivals,421099
1986-01,Number Of Air Passenger Arrivals,351690
1986-02,Number Of Air Passenger Arrivals,335961
1986-03,Number Of Air Passenger Arrivals,350807
1986-04,Number Of Air Passenger Arrivals,339869
1986-05,Number Of Air Passenger Arrivals,343197
1986-06,Number Of Air Passenger Arrivals,397467
1986-07,Number Of Air Passenger Arrivals,374864
1986-08,Number Of Air Passenger Arrivals,405325
1986-09,Number Of Air Passenger Arrivals,366205
1986-10,Number Of Air Passenger Arrivals,372229
1986-11,Number Of Air Passenger Arrivals,369299
1986-12,Number Of Air Passenger Arrivals,438663
1987-01,Number Of Air Passenger Arrivals,387737
1987-02,Number Of Air Passenger Arrivals,370152
1987-03,Number Of Air Passenger Arrivals,389745
1987-04,Number Of Air Passenger Arrivals,384072
1987-05,Number Of Air Passenger Arrivals,393555
1987-06,Number Of Air Passenger Arrivals,444972
1987-07,Number Of Air Passenger Arrivals,439286
1987-08,Number Of Air Passenger Arrivals,462816
1987-09,Number Of Air Passenger Arrivals,409104
1987-10,Number Of Air Passenger Arrivals,418928
1987-11,Number Of Air Passenger Arrivals,413716
1987-12,Number Of Air Passenger Arrivals,503080
1988-01,Number Of Air Passenger Arrivals,434586
1988-02,Number Of Air Passenger Arrivals,427020
1988-03,Number Of Air Passenger Arrivals,460889
1988-04,Number Of Air Passenger Arrivals,441331
1988-05,Number Of Air Passenger Arrivals,432584
1988-06,Number Of Air Passenger Arrivals,489884
1988-07,Number Of Air Passenger Arrivals,492727
1988-08,Number Of Air Passenger Arrivals,503542
1988-09,Number Of Air Passenger Arrivals,459639
1988-10,Number Of Air Passenger Arrivals,478253
1988-11,Number Of Air Passenger Arrivals,490338
1988-12,Number Of Air Passenger Arrivals,575657
1989-01,Number Of Air Passenger Arrivals,503277
1989-02,Number Of Air Passenger Arrivals,479227
1989-03,Number Of Air Passenger Arrivals,531121
1989-04,Number Of Air Passenger Arrivals,493376
1989-05,Number Of Air Passenger Arrivals,499419
1989-06,Number Of Air Passenger Arrivals,556166
1989-07,Number Of Air Passenger Arrivals,563253
1989-08,Number Of Air Passenger Arrivals,564009
1989-09,Number Of Air Passenger Arrivals,547359
1989-10,Number Of Air Passenger Arrivals,547632
1989-11,Number Of Air Passenger Arrivals,562760
1989-12,Number Of Air Passenger Arrivals,643360
1990-01,Number Of Air Passenger Arrivals,575999
1990-02,Number Of Air Passenger Arrivals,550233
1990-03,Number Of Air Passenger Arrivals,593583
1990-04,Number Of Air Passenger Arrivals,569759
1990-05,Number Of Air Passenger Arrivals,568501
1990-06,Number Of Air Passenger Arrivals,625306
1990-07,Number Of Air Passenger Arrivals,614922
